type,job,job_require,skill,path
single_hop_synonym,Backend (FinTech) #2,PostgreSQL,PostgreSQL,"['Backend (FinTech) #2', 'require>', 'PostgreSQL']"
single_hop_synonym,Backend (FinTech) #2,SQL,SQL,"['Backend (FinTech) #2', 'require>', 'SQL']"
single_hop_synonym,Backend (FinTech) #2,Oracle,Oracle,"['Backend (FinTech) #2', 'require>', 'Oracle']"
single_hop_synonym,Backend (FinTech) #2,OpenShift,OpenShift,"['Backend (FinTech) #2', 'require>', 'OpenShift']"
single_hop_synonym,Backend (FinTech) #2,Migration Projects,Migration Projects,"['Backend (FinTech) #2', 'require>', 'Migration Projects']"
single_hop_synonym,Backend (FinTech) #2,Technology Modernization,Technology Modernization,"['Backend (FinTech) #2', 'require>', 'Technology Modernization']"
single_hop_synonym,Backend (FinTech) #2,Production Issues,Production Issues,"['Backend (FinTech) #2', 'require>', 'Production Issues']"
single_hop_synonym,Backend (FinTech) #2,IT,IT,"['Backend (FinTech) #2', 'require>', 'IT']"
single_hop_synonym,Backend (FinTech) #2,Banking System Enhancement,Banking System Enhancement,"['Backend (FinTech) #2', 'require>', 'Banking System Enhancement']"
single_hop_synonym,Backend (FinTech) #2,API,API,"['Backend (FinTech) #2', 'require>', 'API']"
single_hop_synonym,Backend (FinTech) #2,Spring Boot,Spring Boot,"['Backend (FinTech) #2', 'require>', 'Spring Boot']"
single_hop_synonym,Backend (FinTech) #2,Java,Java,"['Backend (FinTech) #2', 'require>', 'Java']"
single_hop_synonym,Backend (FinTech) #2,Software Engineer,Software Engineer,"['Backend (FinTech) #2', 'require>', 'Software Engineer']"
single_hop_synonym,Backend (Travel) #2,Version Control Systems,Version Control Systems,"['Backend (Travel) #2', 'require>', 'Version Control Systems']"
single_hop_synonym,Backend (Travel) #2,Databases,Databases,"['Backend (Travel) #2', 'require>', 'Databases']"
single_hop_synonym,Backend (Travel) #2,SQL,SQL,"['Backend (Travel) #2', 'require>', 'SQL']"
single_hop_synonym,Backend (Travel) #2,Java,Java,"['Backend (Travel) #2', 'require>', 'Java']"
single_hop_synonym,Backend (Travel) #2,JavaScript,JavaScript,"['Backend (Travel) #2', 'require>', 'JavaScript']"
single_hop_synonym,Backend (Travel) #2,Python,Python,"['Backend (Travel) #2', 'require>', 'Python']"
single_hop_synonym,Backend (Travel) #2,Emerging Technologies,Emerging Technologies,"['Backend (Travel) #2', 'require>', 'Emerging Technologies']"
single_hop_synonym,Backend (Travel) #2,Coding Standards,Coding Standards,"['Backend (Travel) #2', 'require>', 'Coding Standards']"
single_hop_synonym,Backend (Travel) #2,Code Reviews,Code Reviews,"['Backend (Travel) #2', 'require>', 'Code Reviews']"
single_hop_synonym,Backend (Travel) #2,Debugging,Debugging,"['Backend (Travel) #2', 'require>', 'Debugging']"
single_hop_synonym,Backend (Travel) #2,Troubleshooting,Troubleshooting,"['Backend (Travel) #2', 'require>', 'Troubleshooting']"
single_hop_synonym,Backend (Travel) #2,Technical Designs,Technical Designs,"['Backend (Travel) #2', 'require>', 'Technical Designs']"
single_hop_synonym,Backend (Travel) #2,Software Solutions,Software Solutions,"['Backend (Travel) #2', 'require>', 'Software Solutions']"
single_hop_synonym,Backend (Travel) #2,Git,Git,"['Backend (Travel) #2', 'require>', 'Git']"
single_hop_synonym,Backend (Travel) #2,Contract Software Developer,Contract Software Developer,"['Backend (Travel) #2', 'require>', 'Contract Software Developer']"
single_hop_synonym,Backend (Travel) #2,Software Integrations,Software Integrations,"['Backend (Travel) #2', 'require>', 'Software Integrations']"
single_hop_synonym,Backend (Travel) #2,Software Development,Software Development,"['Backend (Travel) #2', 'require>', 'Software Development']"
single_hop_synonym,Backend (Travel) #2,Agile Development,Agile Development,"['Backend (Travel) #2', 'require>', 'Agile Development']"
single_hop_synonym,Backend (Travel) #2,Spark,Spark,"['Backend (Travel) #2', 'require>', 'Spark']"
single_hop_synonym,Backend (Travel) #2,Kafka,Kafka,"['Backend (Travel) #2', 'require>', 'Kafka']"
single_hop_synonym,Backend (Travel) #2,C#,C#,"['Backend (Travel) #2', 'require>', 'C#']"
single_hop_synonym,Backend (Travel) #2,Scala,Scala,"['Backend (Travel) #2', 'require>', 'Scala']"
single_hop_synonym,Backend (Travel) #2,Self-Healing Systems,Self-Healing Systems,"['Backend (Travel) #2', 'require>', 'Self-Healing Systems']"
single_hop_synonym,Backend (Travel) #2,Testing Techniques,Testing Techniques,"['Backend (Travel) #2', 'require>', 'Testing Techniques']"
single_hop_synonym,Backend (Travel) #2,CI/CD,CI/CD,"['Backend (Travel) #2', 'require>', 'CI/CD']"
single_hop_synonym,Backend (Travel) #2,Payments,Payments,"['Backend (Travel) #2', 'require>', 'Payments']"
single_hop_synonym,Backend (Travel) #2,Booking Systems,Booking Systems,"['Backend (Travel) #2', 'require>', 'Booking Systems']"
single_hop_synonym,Backend (Travel) #2,Partner Data,Partner Data,"['Backend (Travel) #2', 'require>', 'Partner Data']"
single_hop_synonym,Backend (Travel) #2,Communications,Communications,"['Backend (Travel) #2', 'require>', 'Communications']"
single_hop_synonym,Backend (Travel) #2,Customer Data,Customer Data,"['Backend (Travel) #2', 'require>', 'Customer Data']"
single_hop_synonym,Backend (Travel) #2,Product Information,Product Information,"['Backend (Travel) #2', 'require>', 'Product Information']"
single_hop_synonym,Backend (Travel) #2,Inventory and Pricing,Inventory and Pricing,"['Backend (Travel) #2', 'require>', 'Inventory and Pricing']"
single_hop_synonym,Backend (Travel) #2,APIs,APIs,"['Backend (Travel) #2', 'require>', 'APIs']"
single_hop_synonym,Backend (Travel) #2,Fault-Tolerant Systems,Fault-Tolerant Systems,"['Backend (Travel) #2', 'require>', 'Fault-Tolerant Systems']"
single_hop_synonym,Backend (Travel) #2,Scalable Systems,Scalable Systems,"['Backend (Travel) #2', 'require>', 'Scalable Systems']"
single_hop_synonym,Backend (Travel) #2,Back End Engineering,Back End Engineering,"['Backend (Travel) #2', 'require>', 'Back End Engineering']"
single_hop_synonym,Infra (Travel) #1,Fault-tolerant Systems,Fault-tolerant Systems,"['Infra (Travel) #1', 'require>', 'Fault-tolerant Systems']"
single_hop_synonym,Infra (Travel) #1,Infrastructure Platform Development,Infrastructure Platform Development,"['Infra (Travel) #1', 'require>', 'Infrastructure Platform Development']"
single_hop_synonym,Infra (Travel) #1,Agoda Services,Agoda Services,"['Infra (Travel) #1', 'require>', 'Agoda Services']"
single_hop_synonym,Infra (Travel) #1,Kubernetes Clusters,Kubernetes Clusters,"['Infra (Travel) #1', 'require>', 'Kubernetes Clusters']"
single_hop_synonym,Infra (Travel) #1,Virtualization,Virtualization,"['Infra (Travel) #1', 'require>', 'Virtualization']"
single_hop_synonym,Infra (Travel) #1,Multi-tenant Compute Platforms,Multi-tenant Compute Platforms,"['Infra (Travel) #1', 'require>', 'Multi-tenant Compute Platforms']"
single_hop_synonym,Infra (Travel) #1,Software-defined Networking,Software-defined Networking,"['Infra (Travel) #1', 'require>', 'Software-defined Networking']"
single_hop_synonym,Infra (Travel) #1,Software-defined Storage,Software-defined Storage,"['Infra (Travel) #1', 'require>', 'Software-defined Storage']"
single_hop_synonym,Infra (Travel) #1,Kubernetes Operators,Kubernetes Operators,"['Infra (Travel) #1', 'require>', 'Kubernetes Operators']"
single_hop_synonym,Infra (Travel) #1,Bare Metal Provisioning,Bare Metal Provisioning,"['Infra (Travel) #1', 'require>', 'Bare Metal Provisioning']"
single_hop_synonym,Infra (Travel) #1,OpenStack Private Clouds,OpenStack Private Clouds,"['Infra (Travel) #1', 'require>', 'OpenStack Private Clouds']"
single_hop_synonym,Infra (Travel) #1,OpenTelemetry,OpenTelemetry,"['Infra (Travel) #1', 'require>', 'OpenTelemetry']"
single_hop_synonym,Infra (Travel) #1,Scalable Solutions,Scalable Solutions,"['Infra (Travel) #1', 'require>', 'Scalable Solutions']"
single_hop_synonym,Infra (Travel) #1,Reliable Solutions,Reliable Solutions,"['Infra (Travel) #1', 'require>', 'Reliable Solutions']"
single_hop_synonym,Infra (Travel) #1,Automated Solutions,Automated Solutions,"['Infra (Travel) #1', 'require>', 'Automated Solutions']"
single_hop_synonym,Infra (Travel) #1,Infrastructure Platform,Infrastructure Platform,"['Infra (Travel) #1', 'require>', 'Infrastructure Platform']"
single_hop_synonym,Infra (Travel) #1,Infrastructure Management System,Infrastructure Management System,"['Infra (Travel) #1', 'require>', 'Infrastructure Management System']"
single_hop_synonym,Infra (Travel) #1,OpenStack,OpenStack,"['Infra (Travel) #1', 'require>', 'OpenStack']"
single_hop_synonym,Infra (Travel) #1,Ceph,Ceph,"['Infra (Travel) #1', 'require>', 'Ceph']"
single_hop_synonym,Infra (Travel) #1,Kubernetes,Kubernetes,"['Infra (Travel) #1', 'require>', 'Kubernetes']"
single_hop_synonym,Infra (Travel) #1,Infrastructure System Management,Infrastructure System Management,"['Infra (Travel) #1', 'require>', 'Infrastructure System Management']"
single_hop_synonym,Infra (Travel) #1,Modern Technologies,Modern Technologies,"['Infra (Travel) #1', 'require>', 'Modern Technologies']"
single_hop_synonym,Infra (Travel) #1,Platform Infrastructure,Platform Infrastructure,"['Infra (Travel) #1', 'require>', 'Platform Infrastructure']"
single_hop_synonym,Infra (Travel) #1,Scaling,Scaling,"['Infra (Travel) #1', 'require>', 'Scaling']"
single_hop_synonym,Infra (Travel) #1,Reliability,Reliability,"['Infra (Travel) #1', 'require>', 'Reliability']"
single_hop_synonym,Infra (Travel) #1,Automation,Automation,"['Infra (Travel) #1', 'require>', 'Automation']"
single_hop_synonym,Infra (Travel) #1,Performance Issues,Performance Issues,"['Infra (Travel) #1', 'require>', 'Performance Issues']"
single_hop_synonym,Infra (Travel) #1,Performance Tuning,Performance Tuning,"['Infra (Travel) #1', 'require>', 'Performance Tuning']"
single_hop_synonym,Infra (Travel) #1,Optimization,Optimization,"['Infra (Travel) #1', 'require>', 'Optimization']"
single_hop_synonym,Infra (Travel) #1,Computer Science,Computer Science,"['Infra (Travel) #1', 'require>', 'Computer Science']"
single_hop_synonym,Infra (Travel) #1,Programming,Programming,"['Infra (Travel) #1', 'require>', 'Programming']"
single_hop_synonym,Infra (Travel) #1,Python,Python,"['Infra (Travel) #1', 'require>', 'Python']"
single_hop_synonym,Infra (Travel) #1,Go,Go,"['Infra (Travel) #1', 'require>', 'Go']"
single_hop_synonym,Infra (Travel) #1,Git,Git,"['Infra (Travel) #1', 'require>', 'Git']"
single_hop_synonym,Infra (Travel) #1,Docker,Docker,"['Infra (Travel) #1', 'require>', 'Docker']"
single_hop_synonym,Infra (Travel) #1,Linux Command Line,Linux Command Line,"['Infra (Travel) #1', 'require>', 'Linux Command Line']"
single_hop_synonym,Infra (Travel) #1,Bash Scripting,Bash Scripting,"['Infra (Travel) #1', 'require>', 'Bash Scripting']"
single_hop_synonym,Infra (Travel) #1,CI/CD Systems,CI/CD Systems,"['Infra (Travel) #1', 'require>', 'CI/CD Systems']"
single_hop_synonym,Infra (Travel) #1,GitLab,GitLab,"['Infra (Travel) #1', 'require>', 'GitLab']"
single_hop_synonym,Infra (Travel) #1,GitHub Actions,GitHub Actions,"['Infra (Travel) #1', 'require>', 'GitHub Actions']"
single_hop_synonym,Infra (Travel) #1,CI/CD Pipelines,CI/CD Pipelines,"['Infra (Travel) #1', 'require>', 'CI/CD Pipelines']"
single_hop_synonym,Infra (Travel) #1,Configuration as Code,Configuration as Code,"['Infra (Travel) #1', 'require>', 'Configuration as Code']"
single_hop_synonym,Infra (Travel) #1,YAML,YAML,"['Infra (Travel) #1', 'require>', 'YAML']"
single_hop_synonym,Infra (Travel) #1,Bash,Bash,"['Infra (Travel) #1', 'require>', 'Bash']"
single_hop_synonym,Infra (Travel) #1,Hardware Management APIs,Hardware Management APIs,"['Infra (Travel) #1', 'require>', 'Hardware Management APIs']"
single_hop_synonym,Infra (Travel) #1,Redfish,Redfish,"['Infra (Travel) #1', 'require>', 'Redfish']"
single_hop_synonym,Infra (Travel) #1,ILO,ILO,"['Infra (Travel) #1', 'require>', 'ILO']"
single_hop_synonym,Infra (Travel) #1,DRAC,DRAC,"['Infra (Travel) #1', 'require>', 'DRAC']"
single_hop_synonym,Infra (Travel) #1,Physical Architecture,Physical Architecture,"['Infra (Travel) #1', 'require>', 'Physical Architecture']"
single_hop_synonym,Infra (Travel) #1,Resilient Systems,Resilient Systems,"['Infra (Travel) #1', 'require>', 'Resilient Systems']"
single_hop_synonym,Infra (Travel) #1,Highly Available Systems,Highly Available Systems,"['Infra (Travel) #1', 'require>', 'Highly Available Systems']"
single_hop_synonym,QA (MedTech) #1,CI/CD Pipelines,CI/CD Pipelines,"['QA (MedTech) #1', 'require>', 'CI/CD Pipelines']"
single_hop_synonym,QA (MedTech) #1,Domain-Driven Design,Domain-Driven Design,"['QA (MedTech) #1', 'require>', 'Domain-Driven Design']"
single_hop_synonym,QA (MedTech) #1,Agile Development Frameworks,Agile Development Frameworks,"['QA (MedTech) #1', 'require>', 'Agile Development Frameworks']"
single_hop_synonym,QA (MedTech) #1,Rebalance,Rebalance,"['QA (MedTech) #1', 'require>', 'Rebalance']"
single_hop_synonym,QA (MedTech) #1,Auto-DCA,Auto-DCA,"['QA (MedTech) #1', 'require>', 'Auto-DCA']"
single_hop_synonym,QA (MedTech) #1,Trading Strategies,Trading Strategies,"['QA (MedTech) #1', 'require>', 'Trading Strategies']"
single_hop_synonym,QA (MedTech) #1,Trading Operations,Trading Operations,"['QA (MedTech) #1', 'require>', 'Trading Operations']"
single_hop_synonym,QA (MedTech) #1,Fintech,Fintech,"['QA (MedTech) #1', 'require>', 'Fintech']"
single_hop_synonym,QA (MedTech) #1,Test Automation Scripts,Test Automation Scripts,"['QA (MedTech) #1', 'require>', 'Test Automation Scripts']"
single_hop_synonym,QA (MedTech) #1,Prompt Engineering,Prompt Engineering,"['QA (MedTech) #1', 'require>', 'Prompt Engineering']"
single_hop_synonym,QA (MedTech) #1,AI-Assisted Test Case Generation,AI-Assisted Test Case Generation,"['QA (MedTech) #1', 'require>', 'AI-Assisted Test Case Generation']"
single_hop_synonym,QA (MedTech) #1,Continuous Testing,Continuous Testing,"['QA (MedTech) #1', 'require>', 'Continuous Testing']"
single_hop_synonym,QA (MedTech) #1,DevOps Workflows,DevOps Workflows,"['QA (MedTech) #1', 'require>', 'DevOps Workflows']"
single_hop_synonym,QA (MedTech) #1,Software QA Engineer,Software QA Engineer,"['QA (MedTech) #1', 'require>', 'Software QA Engineer']"
single_hop_synonym,QA (MedTech) #1,Contract,Contract,"['QA (MedTech) #1', 'require>', 'Contract']"
single_hop_synonym,QA (MedTech) #1,Digital Asset Trading Platform,Digital Asset Trading Platform,"['QA (MedTech) #1', 'require>', 'Digital Asset Trading Platform']"
single_hop_synonym,QA (MedTech) #1,Test Strategies,Test Strategies,"['QA (MedTech) #1', 'require>', 'Test Strategies']"
single_hop_synonym,QA (MedTech) #1,Automation Frameworks,Automation Frameworks,"['QA (MedTech) #1', 'require>', 'Automation Frameworks']"
single_hop_synonym,QA (MedTech) #1,Quality Standards,Quality Standards,"['QA (MedTech) #1', 'require>', 'Quality Standards']"
single_hop_synonym,QA (MedTech) #1,Test Planning,Test Planning,"['QA (MedTech) #1', 'require>', 'Test Planning']"
single_hop_synonym,QA (MedTech) #1,Test Execution,Test Execution,"['QA (MedTech) #1', 'require>', 'Test Execution']"
single_hop_synonym,QA (MedTech) #1,QA Technologies,QA Technologies,"['QA (MedTech) #1', 'require>', 'QA Technologies']"
single_hop_synonym,QA (MedTech) #1,Risk Assessments,Risk Assessments,"['QA (MedTech) #1', 'require>', 'Risk Assessments']"
single_hop_synonym,QA (MedTech) #1,Test Cases,Test Cases,"['QA (MedTech) #1', 'require>', 'Test Cases']"
single_hop_synonym,QA (MedTech) #1,Functional Testing,Functional Testing,"['QA (MedTech) #1', 'require>', 'Functional Testing']"
single_hop_synonym,QA (MedTech) #1,Integration Testing,Integration Testing,"['QA (MedTech) #1', 'require>', 'Integration Testing']"
single_hop_synonym,QA (MedTech) #1,Performance Testing,Performance Testing,"['QA (MedTech) #1', 'require>', 'Performance Testing']"
single_hop_synonym,QA (MedTech) #1,Test Execution Efficiency,Test Execution Efficiency,"['QA (MedTech) #1', 'require>', 'Test Execution Efficiency']"
single_hop_synonym,QA (MedTech) #1,Automation Coverage,Automation Coverage,"['QA (MedTech) #1', 'require>', 'Automation Coverage']"
single_hop_synonym,QA (MedTech) #1,Defect Analysis,Defect Analysis,"['QA (MedTech) #1', 'require>', 'Defect Analysis']"
single_hop_synonym,QA (MedTech) #1,Software Defects,Software Defects,"['QA (MedTech) #1', 'require>', 'Software Defects']"
single_hop_synonym,QA (MedTech) #1,Security Vulnerabilities,Security Vulnerabilities,"['QA (MedTech) #1', 'require>', 'Security Vulnerabilities']"
single_hop_synonym,QA (MedTech) #1,Testing Methodologies,Testing Methodologies,"['QA (MedTech) #1', 'require>', 'Testing Methodologies']"
single_hop_synonym,QA (MedTech) #1,Automation Reliability,Automation Reliability,"['QA (MedTech) #1', 'require>', 'Automation Reliability']"
single_hop_synonym,QA (MedTech) #1,Bug Detection Accuracy,Bug Detection Accuracy,"['QA (MedTech) #1', 'require>', 'Bug Detection Accuracy']"
single_hop_synonym,QA (MedTech) #1,Production Environment,Production Environment,"['QA (MedTech) #1', 'require>', 'Production Environment']"
single_hop_synonym,QA (MedTech) #1,Software Testing Lifecycle,Software Testing Lifecycle,"['QA (MedTech) #1', 'require>', 'Software Testing Lifecycle']"
single_hop_synonym,QA (MedTech) #1,Automation Development,Automation Development,"['QA (MedTech) #1', 'require>', 'Automation Development']"
single_hop_synonym,QA (MedTech) #1,Defect Management,Defect Management,"['QA (MedTech) #1', 'require>', 'Defect Management']"
single_hop_synonym,QA (MedTech) #1,Playwright,Playwright,"['QA (MedTech) #1', 'require>', 'Playwright']"
single_hop_synonym,QA (MedTech) #1,TypeScript,TypeScript,"['QA (MedTech) #1', 'require>', 'TypeScript']"
single_hop_synonym,QA (MedTech) #1,UI Testing,UI Testing,"['QA (MedTech) #1', 'require>', 'UI Testing']"
single_hop_synonym,QA (MedTech) #1,API Testing,API Testing,"['QA (MedTech) #1', 'require>', 'API Testing']"
single_hop_synonym,QA (MedTech) #1,K6,K6,"['QA (MedTech) #1', 'require>', 'K6']"
single_hop_synonym,QA (MedTech) #1,Load Tests,Load Tests,"['QA (MedTech) #1', 'require>', 'Load Tests']"
single_hop_synonym,QA (MedTech) #1,Stress Tests,Stress Tests,"['QA (MedTech) #1', 'require>', 'Stress Tests']"
single_hop_synonym,QA (MedTech) #1,Endurance Tests,Endurance Tests,"['QA (MedTech) #1', 'require>', 'Endurance Tests']"
single_hop_synonym,QA (MedTech) #1,System Performance,System Performance,"['QA (MedTech) #1', 'require>', 'System Performance']"
single_hop_synonym,QA (MedTech) #1,Software Testing Methodologies,Software Testing Methodologies,"['QA (MedTech) #1', 'require>', 'Software Testing Methodologies']"
single_hop_synonym,QA (MedTech) #1,Regression Testing,Regression Testing,"['QA (MedTech) #1', 'require>', 'Regression Testing']"
single_hop_synonym,QA (MedTech) #1,Exploratory Testing,Exploratory Testing,"['QA (MedTech) #1', 'require>', 'Exploratory Testing']"
single_hop_synonym,QA (MedTech) #1,Analytical Skills,Analytical Skills,"['QA (MedTech) #1', 'require>', 'Analytical Skills']"
single_hop_synonym,QA (MedTech) #1,Debugging Skills,Debugging Skills,"['QA (MedTech) #1', 'require>', 'Debugging Skills']"
single_hop_synonym,QA (MedTech) #1,Bug Reports,Bug Reports,"['QA (MedTech) #1', 'require>', 'Bug Reports']"
single_hop_synonym,QA (MedTech) #1,Event-Driven Architectures,Event-Driven Architectures,"['QA (MedTech) #1', 'require>', 'Event-Driven Architectures']"
single_hop_synonym,QA (MedTech) #1,Message Queues,Message Queues,"['QA (MedTech) #1', 'require>', 'Message Queues']"
single_hop_synonym,QA (MedTech) #1,RabbitMQ,RabbitMQ,"['QA (MedTech) #1', 'require>', 'RabbitMQ']"
single_hop_synonym,QA (MedTech) #1,Database Validation,Database Validation,"['QA (MedTech) #1', 'require>', 'Database Validation']"
single_hop_synonym,QA (MedTech) #1,Data Type Consistency,Data Type Consistency,"['QA (MedTech) #1', 'require>', 'Data Type Consistency']"
single_hop_synonym,QA (MedTech) #1,Data Migrations,Data Migrations,"['QA (MedTech) #1', 'require>', 'Data Migrations']"
single_hop_synonym,QA (MedTech) #1,Schema Evolution,Schema Evolution,"['QA (MedTech) #1', 'require>', 'Schema Evolution']"
single_hop_synonym,QA (MedTech) #1,MongoDB,MongoDB,"['QA (MedTech) #1', 'require>', 'MongoDB']"
single_hop_synonym,QA (MedTech) #1,PostgreSQL,PostgreSQL,"['QA (MedTech) #1', 'require>', 'PostgreSQL']"
single_hop_synonym,Fullstack (FinTech) #2,Jenkins,Jenkins,"['Fullstack (FinTech) #2', 'require>', 'Jenkins']"
single_hop_synonym,Fullstack (FinTech) #2,Dockers,Dockers,"['Fullstack (FinTech) #2', 'require>', 'Dockers']"
single_hop_synonym,Fullstack (FinTech) #2,CI/CD,CI/CD,"['Fullstack (FinTech) #2', 'require>', 'CI/CD']"
single_hop_synonym,Fullstack (FinTech) #2,DevOps,DevOps,"['Fullstack (FinTech) #2', 'require>', 'DevOps']"
single_hop_synonym,Fullstack (FinTech) #2,Cypress,Cypress,"['Fullstack (FinTech) #2', 'require>', 'Cypress']"
single_hop_synonym,Fullstack (FinTech) #2,Acceptance Test,Acceptance Test,"['Fullstack (FinTech) #2', 'require>', 'Acceptance Test']"
single_hop_synonym,Fullstack (FinTech) #2,Unit Test,Unit Test,"['Fullstack (FinTech) #2', 'require>', 'Unit Test']"
single_hop_synonym,Fullstack (FinTech) #2,Automate Testing,Automate Testing,"['Fullstack (FinTech) #2', 'require>', 'Automate Testing']"
single_hop_synonym,Fullstack (FinTech) #2,Scrum,Scrum,"['Fullstack (FinTech) #2', 'require>', 'Scrum']"
single_hop_synonym,Fullstack (FinTech) #2,Agile Methodologies,Agile Methodologies,"['Fullstack (FinTech) #2', 'require>', 'Agile Methodologies']"
single_hop_synonym,Fullstack (FinTech) #2,SQL,SQL,"['Fullstack (FinTech) #2', 'require>', 'SQL']"
single_hop_synonym,Fullstack (FinTech) #2,Spring Boot,Spring Boot,"['Fullstack (FinTech) #2', 'require>', 'Spring Boot']"
